match_id,signal_type,signal_text_ko,source_ref
match_mission_lower_fuse_capacitor_01_merc_breaker_01,advantage,고압망 작업 습관,MVP_데이터_초안:matching_cases
match_mission_lower_fuse_capacitor_01_merc_breaker_01,advantage,산업 설비 경험,MVP_데이터_초안:matching_cases
match_mission_lower_fuse_capacitor_01_merc_breaker_01,disadvantage,보안 절차 무시 경향,MVP_데이터_초안:matching_cases
match_mission_lower_fuse_capacitor_01_merc_breaker_01,conditional,절연 장비 상태,MVP_데이터_초안:matching_cases
match_mission_mid_elneon_backdoor_01_merc_malt_01,advantage,시민 위장,MVP_데이터_초안:matching_cases
match_mission_mid_elneon_backdoor_01_merc_malt_01,advantage,스캐너 기만,MVP_데이터_초안:matching_cases
match_mission_mid_elneon_backdoor_01_merc_malt_01,advantage,낮은 가시성,MVP_데이터_초안:matching_cases
match_mission_mid_elneon_backdoor_01_merc_malt_01,disadvantage,채무 관계,MVP_데이터_초안:matching_cases
match_mission_mid_elneon_backdoor_01_merc_malt_01,conditional,은닉형 슬롯 유지,MVP_데이터_초안:matching_cases
match_mission_mid_elneon_backdoor_01_merc_malt_01,conditional,저가시성 무장 유지,MVP_데이터_초안:matching_cases
match_mission_upper_almadinat_memory_01_merc_velvet_knife_01,advantage,유전자 기만,MVP_데이터_초안:matching_cases
match_mission_upper_almadinat_memory_01_merc_velvet_knife_01,advantage,단정한 인상,MVP_데이터_초안:matching_cases
match_mission_upper_almadinat_memory_01_merc_velvet_knife_01,advantage,상층 예법,MVP_데이터_초안:matching_cases
match_mission_upper_almadinat_memory_01_merc_velvet_knife_01,disadvantage,반사면 지연 반응,MVP_데이터_초안:matching_cases
match_mission_upper_almadinat_memory_01_merc_velvet_knife_01,conditional,고도 보정기 완비,MVP_데이터_초안:matching_cases
match_mission_upper_almadinat_memory_01_merc_velvet_knife_01,conditional,DNA 패치 완비,MVP_데이터_초안:matching_cases
match_mission_mid_elneon_backdoor_01_merc_chromeshow_01,advantage,교전 발생 시 생존력,MVP_데이터_초안:matching_cases
match_mission_mid_elneon_backdoor_01_merc_chromeshow_01,disadvantage,매우 높은 가시성,MVP_데이터_초안:matching_cases
match_mission_mid_elneon_backdoor_01_merc_chromeshow_01,disadvantage,낮은 Cypher/Cool,MVP_데이터_초안:matching_cases
match_mission_mid_elneon_backdoor_01_merc_chromeshow_01,disadvantage,노출형 크롬,MVP_데이터_초안:matching_cases
match_mission_mid_elneon_backdoor_01_merc_chromeshow_01,conditional,장비 대폭 해체 필요,MVP_데이터_초안:matching_cases
